name,capacity_id
pyramidal,8
AMRAP,8
HIIT,8
bi_set_2,7
bi_set_3,7
bi_set_agonist,7
bi_set_antagonist,7
tri_set,7
finisher,7
partial,7
constant_tension,7
EMOM,7
full_body,7
speed_musculation_method,6
speed_running_method,6
bulgarian,5
postactivation_potentiation,5
antagonist_pre_contraction,5
explosive,5
jumping_projection,5
throwing,5
general_maximum_power,4
general_excentric,4
general_isometric,4
general_maximal,4
bulgarian_classic,4
total_isometry,4
fundamental_endurance,3
continuous_effort_capacity,3
continuous_effort_power,3
rapid_continuous_effort,3
fartlek,3
intermittent,3
30_30,3
lactic_short_effort_power,2
lactic_short_effort_capacity,2
alactic_ short_effort_power,1
alactic_short_effort_capacity,1
general_explosive,5
